claim_area,public_surface,generating_source,config_or_var_key,artifact_or_sidecar,verification_gate,verdict,remediation
thm_4_1 (Theorem 5.1: Entanglement Decomposition),[[THMREF:thm_4_1]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Decomposition.lean,manuscript/refs/labels.yaml::theorems::thm_4_1,lean/ActinfPolicyEntanglement/Decomposition.lean,tests/test_decomposition.py,boundary/typed-witness,MathlibProofs row-specific discharge or witness payload
cor_4_2 (Corollary 5.2: Coupling-pays-for-itself),[[THMREF:cor_4_2]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Decomposition.lean,manuscript/refs/labels.yaml::theorems::cor_4_2,lean/ActinfPolicyEntanglement/Decomposition.lean,tests/test_decomposition.py,proved/substantive,none
cor_4_3 (Corollary 5.3: Mean-field at λ = 0),[[THMREF:cor_4_3]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Decomposition.lean,manuscript/refs/labels.yaml::theorems::cor_4_3,lean/ActinfPolicyEntanglement/Decomposition.lean,tests/test_coupling.py,proved/substantive,none
cor_4_4 (Corollary 5.4: Strict gain when q is non-mean-field),[[THMREF:cor_4_4]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Decomposition.lean,manuscript/refs/labels.yaml::theorems::cor_4_4,lean/ActinfPolicyEntanglement/Decomposition.lean,tests/test_free_energy.py,boundary/typed-witness,MathlibProofs row-specific discharge or witness payload
thm_4_2 (Theorem 5.5: Existence of optimal coupling),[[THMREF:thm_4_2]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Decomposition.lean,manuscript/refs/labels.yaml::theorems::thm_4_2,lean/ActinfPolicyEntanglement/Decomposition.lean,tests/test_decomposition.py,boundary/typed-witness,MathlibProofs row-specific discharge or witness payload
thm_4_3 (Theorem 5.6: Convexity of F in λ),[[THMREF:thm_4_3]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Convexity.lean,manuscript/refs/labels.yaml::theorems::thm_4_3,lean/ActinfPolicyEntanglement/Convexity.lean,tests/test_witness_theorems.py,witness/typed-witness,MathlibProofs row-specific discharge or witness payload
prop_6_1 (Proposition 7.1: MF submanifold is e-flat),[[THMREF:prop_6_1]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Geometry.lean,manuscript/refs/labels.yaml::theorems::prop_6_1,lean/ActinfPolicyEntanglement/Geometry.lean,tests/test_geometry.py,proved/statement-restricted,none
prop_6_2 (Proposition 7.2: m-projection / marginalization),[[THMREF:prop_6_2]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Geometry.lean,manuscript/refs/labels.yaml::theorems::prop_6_2,lean/ActinfPolicyEntanglement/Geometry.lean,tests/test_geometry.py,proved/statement-restricted,none
prop_6_3 (Proposition 7.3: Total correlation as Bregman divergence),[[THMREF:prop_6_3]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/FreeEnergy.lean,manuscript/refs/labels.yaml::theorems::prop_6_3,lean/ActinfPolicyEntanglement/FreeEnergy.lean,tests/test_free_energy.py,witness/typed-witness,MathlibProofs row-specific discharge or witness payload
thm_6_4 (Theorem 7.4: λ-family is an e-geodesic),[[THMREF:thm_6_4]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Geometry.lean,manuscript/refs/labels.yaml::theorems::thm_6_4,lean/ActinfPolicyEntanglement/Geometry.lean,tests/test_coupling.py,forwarder/forwarder,none
prop_6_5 (Proposition 7.5: Pythagorean decomposition),[[THMREF:prop_6_5]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Geometry.lean,manuscript/refs/labels.yaml::theorems::prop_6_5,lean/ActinfPolicyEntanglement/Geometry.lean,tests/test_geometry.py,witness/typed-witness,MathlibProofs row-specific discharge or witness payload
prop_7_1 (Proposition 8.1: Bipartite mean-field factorization),[[THMREF:prop_7_1]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Spectral.lean,manuscript/refs/labels.yaml::theorems::prop_7_1,lean/ActinfPolicyEntanglement/Spectral.lean,tests/test_spectral.py,proved/statement-restricted,none
prop_7_2 (Proposition 8.2: Schmidt rank upper-semicontinuous in λ),[[THMREF:prop_7_2]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/SpectralWitnesses.lean,manuscript/refs/labels.yaml::theorems::prop_7_2,lean/ActinfPolicyEntanglement/SpectralWitnesses.lean,tests/test_spectral.py,witness/typed-witness,MathlibProofs row-specific discharge or witness payload
thm_7_3 (Theorem 8.3: Sparsity-rank tradeoff),[[THMREF:thm_7_3]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/SpectralWitnesses.lean,manuscript/refs/labels.yaml::theorems::thm_7_3,lean/ActinfPolicyEntanglement/SpectralWitnesses.lean,tests/test_witness_theorems.py,witness/typed-witness,MathlibProofs row-specific discharge or witness payload
thm_8_1 (Theorem 9.1: Heterogeneous coupling tax),[[THMREF:thm_8_1]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Heterogeneous.lean,manuscript/refs/labels.yaml::theorems::thm_8_1,lean/ActinfPolicyEntanglement/Heterogeneous.lean,tests/test_heterogeneous.py,witness/typed-witness,MathlibProofs row-specific discharge or witness payload
cor_8_2 (Corollary 9.2: Reflexive-stream tolerance),[[THMREF:cor_8_2]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Heterogeneous.lean,manuscript/refs/labels.yaml::theorems::cor_8_2,lean/ActinfPolicyEntanglement/Heterogeneous.lean,tests/test_heterogeneous.py,witness/typed-witness,MathlibProofs row-specific discharge or witness payload
prop_10_1 (Proposition 11.1: Local concavity of F at λ=0),[[THMREF:prop_10_1]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/Convexity.lean,manuscript/refs/labels.yaml::theorems::prop_10_1,lean/ActinfPolicyEntanglement/Convexity.lean,tests/test_bernoulli_toy.py,witness/typed-witness,MathlibProofs row-specific discharge or witness payload
thm_11_1 (Theorem 17.1: Hierarchical AIF as λ→∞ limit),[[THMREF:thm_11_1]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/ConnectionsWitnesses.lean,manuscript/refs/labels.yaml::theorems::thm_11_1,lean/ActinfPolicyEntanglement/ConnectionsWitnesses.lean; docs/reference/_theorem_map.md,tests/test_witness_theorems.py,witness/typed-witness,MathlibProofs row-specific discharge or witness payload
prop_11_2 (Proposition 17.2: Sophisticated inference embedding),[[THMREF:prop_11_2]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/ConnectionsWitnesses.lean,manuscript/refs/labels.yaml::theorems::prop_11_2,lean/ActinfPolicyEntanglement/ConnectionsWitnesses.lean; docs/reference/_theorem_map.md,tests/test_witness_theorems.py,witness/typed-witness,MathlibProofs row-specific discharge or witness payload
prop_11_3 (Proposition 19.3: Markov-blanket separation as 1 − I/H),[[THMREF:prop_11_3]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/MarkovBlanket.lean,manuscript/refs/labels.yaml::theorems::prop_11_3,lean/ActinfPolicyEntanglement/MarkovBlanket.lean,tests/test_free_energy.py,witness/typed-witness,MathlibProofs row-specific discharge or witness payload
roadmap_float_real_residual (Roadmap 99.0: Verified Float↔ℝ residual bridge),[[THMREF:roadmap_float_real_residual]]; manuscript/refs/labels.yaml,lean/ActinfPolicyEntanglement/FloatRealResidualWitness.lean,manuscript/refs/labels.yaml::theorems::roadmap_float_real_residual,lean/ActinfPolicyEntanglement/FloatRealResidualWitness.lean; output/reports/float_real_residual.json,tests/test_meta_files_and_float_residual.py,roadmap/numerical_corroboration_only,Flocq/interval formal bridge or interval-bracket witness expansion
pymdp free-energy bundle,manuscript/4C_pymdp_harness.md; manuscript/4E_pymdp_validation.md,scripts/simulate_pymdp.py,simulation.hyperparameters_pymdp,output/simulations/pymdp_free_energy_bundle.csv,scripts/validate_outputs.py; tests/test_pymdp_pipeline.py,empirical,none
pymdp robustness suite,manuscript/4B_empirical_suite.md,scripts/simulate_robustness.py,[[VAR:robustness_scenario_count]],output/simulations/pymdp_robustness.csv,scripts/validate_outputs.py; tests/test_robustness.py,empirical,none
GNN fifth track (Bernoulli round-trip),manuscript/S08_gnn_generalized_notation_extension.md,scripts/simulate_gnn.py; src/gnn/runner.py,[[VAR:gnn_roundtrip_max_residual]],output/data/gnn_bernoulli_roundtrip.json,tests/test_gnn_round_trip.py; tests/test_gnn_concordance.py,empirical,none
MathlibProofs headline real-valued decomposition,manuscript/2D_decomposition.md; docs/reference/methods_and_assumptions.md,scripts/build_mathlib_proofs.py,labels.yaml::thm_4_1::mathlib_analytic_proof,lean/MathlibProofs/MathlibProofs.lean,tests/test_mathlib_proofs_integrity.py; tests/test_mathlib_axiom_audit.py,proved-in-R,none
Publication DOI and source repository,README.md; AGENTS.md; manuscript/config.yaml; CITATION.cff,src/manuscript/publication_metadata.py,publication.doi; publication.repository_url,manuscript/config.yaml; CITATION.cff,tests/test_status_docs.py::publication_metadata_issues,canonical,none
Regression and release readiness,README.md; output/reports/release_readiness.md,scripts/regression_gate.py; scripts/readiness_report.py,output/reports/test_results.json,output/reports/test_results.json; output/reports/dashboard_invariants.txt,scripts/regression_gate.py; tests/test_regression_gate.py,47/47 invariants + 95% coverage gate,none
Manuscript variable injection,manuscript/SYNTAX.md; [[VAR:...]] tokens across manuscript,scripts/manuscript_variables.py; src/manuscript/variables.py,output/data/manuscript_variables.json,output/data/manuscript_variables.json,tests/test_manuscript_variables.py; tests/test_manuscript_validation.py,generated,none
